Activation Method,Armed Actors/ Security Personnel Casualties Total,Armed Actors/ Security Personnel Injured,Armed Actors/ Security Personnel Killed,Boys,Children,Civilian Casualties Total,Civilians Injured,Civilians Killed,Country,Date,Description,Girls,Launch Method,Location,Perpetrator Group Name,Perpetrator Status,Populated Area,Target,Weapon Type,Women
Victim-activated,0,0,0,0,3,3,2,1,Afghanistan,19-12-2011,Three children killed and injured,0,IED,No Information,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Suicide Attack,2,0,2,0,0,210,166,44,Syria,23-12-2011,44 killed in two car bombs in city centre targeting state intelligence,0,IED,Public Building,Unknown,Unknown,Yes,State (armed),Car Bomb,0
Suicide Attack,1,0,1,0,0,85,62,23,Iraq,22-12-2011,Ambulance filled with explosives kills 24 outside government building,0,IED,Public Building,Islamic State Of Iraq (ISI),Non-State Actors,Yes,Not Reported,Car Bomb,0
Suicide Attack,13,7,6,0,0,29,27,2,Iraq,26-12-2011,Eight killed by car bomb outside Interior Ministry,0,IED,Public Building,Unknown,Unknown,Yes,Not Reported,Car Bomb,0
Suicide Attack,4,0,4,0,0,0,0,0,Nigeria,25-12-2011,Three people killed in attack on secret police headquarters,0,IED,Armed Base,Unknown,Unknown,No,State (armed),Non-specific IED,0
Suicide Attack,1,0,1,0,0,60,40,20,Afghanistan,25-12-2011,20 killed at funeral including MP,0,IED,Public Gathering,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Suicide Attack,26,19,7,0,0,0,0,0,Pakistan,24-12-2011,Car bomb driven into paramilitary forces,0,IED,Armed Base,Pakistani Taliban,Non-State Actors,Unclear,Not Reported,Car Bomb,0
Remote Detonation,0,0,0,0,0,5,5,0,Philippines,23-12-2011,IED injures five in Kabacan,0,IED,Town Centre,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Remote Detonation,1,0,1,0,0,4,3,1,Pakistan,30-12-2011,Two killed in remote detonated IED attacks,0,IED,Market,Unknown,Unknown,Yes,Armed Groups,Non-specific IED,0
Victim-activated,0,0,0,0,0,3,3,0,Thailand,02-01-2012,Street vendors wounded by explosive found near cart,0,IED,Commercial Premises,Unknown,Unknown,Yes,Not Reported,Non-specific IED,1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
